Nazwa produktu,Białko (g),Węglowodany (g),Tłuszcz (g)
X'trem céréales coeur fondant au lait - maxi pack,7.4,70,13
Galettes MAÏS,6.5,85,0.7
Płatki orkiszowe,13,64,3.3
Bulgur kasza zvermicelli(with vermicelli),13,53,1.8
Corn Cakes Sour Cream And Onion,8,76,8.9
Płatki owsiane Górskie XXL,14,72,6.8
Rice cakes,10.6,75.2,4.3
Kukurydza gold,2.9,11,1.8
Crunchy z żurawiną musli prażone,9.5,64.4,14.7
Premium Granola Neo,9.5,65,16
Płatki owsiane-górskie błyskawiczne,12,62,7.2
X'trem au chocolat,7,72,13
Crunchy owocowe,7.9,62,12
Baton musli z owocami,8.1,60,16
Crocks Choco-Noisette,6.6,75,13
Crocks mix,6.5,69,12
Couscous aux épices,12,70,3
Couscous,12,70,1.5
Platki zytnie,6.8,77,1.3
Kasza manna,9.5,74.2,1.3
Tahini klasyczne,25,3,60
Wafle ryżowe z kukurydzą o smaku pizzy- Jumbo Pizza,7.5,75,8
Rożek Dolce Giacomo,6.9,73,7.1
CROCKS Goût CHOCOLATE-AVELLANA,7,74,12
Wafle kukurydziane z solą morską,11,77,2.3
choco piegotaki,8,80,2.2
Porridge chocolate,12.5,58.8,8.6
Musli z suszonymi figami i prażonymi orzeszkami ziemnymi.,13.7,52.7,11.2
Honey Granola nuts,10,52,22
Cereales corn flakes,7.2,83,0.8
Vitanella owsianka mango-truskawka,11.3,57,7.7
Płatki zbożowe z suszonymi i kandyzowanymi owocami.,9.4,64.7,6.3
"Musli prażone z suszoną, słodzoną żurawiną.",9,64.2,14
Kasza manna błyskawiczna,8.7,76.7,1.3
Wafle ryżowo-kukurydziane o smaku karmelowym,3.9,81,4.7
Sante granola czekolada z truskawką,9,67,15
Owsianka z 5 owocami leśnymi,13,65,4.4
chrupersy,5.6,84,1.6
"Wawrzyniec - Pasta warzywna z ciecierzycą, pieprzem i czarnuszką",3.8,8.8,19.2
Boules de céréales Gout miel,6.1,88,1.4
Space Cookies,8.3,75,3
kasza kuskus durum,14,68,2
Bike,12,68,2
Crocks chocolat noir,7.5,67,12
Jaśki z kremem o smaku mlecznym,8.3,68,10
"Mąka pszenna, typ 650",13,65,1.5
Mąka tortowa pszenna. Typ 450,11,70,1.2
Just Plants Barista,1,7.5,3.1
Napój Ryżowy,0.1,9.6,1.3
Mąka Luksusowa,11.2,71,1
"Kasza jęczmienna, perłowa",11,65,0.6
Zimtinos,8.3,75,7.8
Mąka tortowa puszysta,10,74,1.1
Musli z owocami i orzechami,8,59.4,12.6
Cheerios Owsiany Jabłko i Cynamon,9.7,67,6.4
Wafle kukurydziane - Czarnuszka i sól morska,9.8,73,4.4
kasza orkiszowa pełnoziarnista,14,58,2
Protein Granola Go On,21,44,15
Świeże ciasto Filo,8.1,58,0.9
musli classic,11.9,62.2,6.7
Granola owocowa BIO,9.2,66,13
Baton musli z orzechami i miodem,8.7,57,19
Kasza manna błyskawiczna z pszenicy,8.7,74,1.3
Nougat Bits,6.7,62,22
"TRENDY LUNCH Premium Orkisz, Vermicelli, Pomidory",14,58,2.8
Mieszanka płatków zbożowych z rodzynkami i orzechami laskowymi,11.2,61.8,6.1
Stylesse Dark Chocolate,7.6,74,6.5
Mąka tortowa pszenna typ 450,12,73,1.5
Jaglanka z Chia owoce leśne,3.3,18,2
Kasza jęczmienna,6.7,77.1,2.4
Granola with 3 types of chocolate,12,63.7,10.1
Nesvita owsianka,11,68,4.5
Oat choco milk,0.8,10.4,1.2
Nesquik Alphabet,9.7,72.8,2.1
Cos na Zab,13,63,5.7
Фини точени кори за баница,8.7,62,0.3
KASZA Orkiszowa Premium,11,63,2.6
Kasza gryczana niepalona,12,65,3.1
Corn Flakes Honey And Nut,7.6,79,4.4
młynpol,11,70,0.7
"Stylesse Pétales de riz, blé complet & orge complète",7.9,81,1.4
Owsianka z maliną i żurawiną,13,65,4.6
"Owsianka ananas, kokos",10.8,51.2,16
Owsianka,13.7,62.3,6.5
Wafle ryżowe Gryka,8.7,76,3.2
Kukurydza super słodka,2.9,12,2.4
Maka,10.5,71,0.9
Mąka żytnia pełnoziarnista,9.7,60,1.8
Cosnazab,13,64,5.2
Owsianka z jabłkiem i cynamonem,11,63,5.4
"Zabkása, banános",12.9,61,5.2
Pesto Genovese 190g Barilla,4.7,11,47
Pesto alla Genovese,4.7,9.8,46
Passata di Pomodoro,1.6,5.1,0.5
Sriracha Sauce,2.3,28,1.2
Tomato Sauce With Basil,1.7,6.4,0.1
Pesto verde,2.6,3.2,46
Mayonnaise,0.8,3,70
Mayonese,1.5,2.9,76.3
Sauce Tomate aux légumes grillés,1.3,5.5,2.3
Piri-Piri,3.2,3,10.4
Ketchup Ɨagodny,1.4,23,0.5
Sriracha sauce mayo,0.9,26,19
Pesto allá genovese,4.1,4.8,35.9
Sås Senap & Dill - Sauce à la moutarde et à l'aneth,2.1,24,38
Harissa Paste,2.9,11,1
Musztarda sarepska ostra,3.7,8.3,5.1
Heinz Zero Sel Ajoute,1.6,5.4,0.1
Ketchup łagodny,1.7,25,0.1
Mayonnaise Kielecki,1.9,2.2,68
Mayonnaise Decorative,1.5,2.9,76.3
Sweet & sour stir fry sauce,0.2,32.7,0.1
Ketchup Pikantny,1.2,23.3,0.1
Sauce Salade Caesar,1.5,8.3,44.7
Ketchup pikantny HOT,1.3,22,0.5
Chow Mein Stir Fry Sauce,0.8,23,1.1
Majonez Dekoracyjny,1.5,2.9,76.3
Majonez Kielecki,1.9,2.3,68
Hummus und Guacamole,6.5,7,19.5
Moutarde Dijon,7.7,8.4,11
Gochujang (Korean Chili Paste 500g),6.2,42.1,1.4
Chrzan,2.7,12,9.8
Musztarda delikatesowa,3.9,9.7,3.4
Majonez lekki,1.1,8.4,33.2
Ketchup Lagodny,1.1,35,0.1
Sos czosnkowy,1,8.1,41
Majonez,0.9,3.7,76
Ketchup junior,1.7,22,0.5
Rote Currypaste,3.6,12,5.5
Musztarda delikatesowa sarepska,4.6,16,5.9
Ketchup premium sycylijski KETO do pizzy,2,6.2,0.5
Hummus klasyczny,9.8,7.9,21
Kucharek,7.9,25,0.1
Vegan aioli,1.2,8.1,50
Ketchup łagodny - Najsmaczniejszy,1.4,35,0.1
Heinz sos czosnkowy,1.9,11,35
Musztarda Stołowa,4.6,11,4.5
Sauce Tatare 6 x,0.9,7.6,63.7
Ketchup premium,2.2,7.2,0.5
Wloclawek Mild Tomato Ketchup,1.7,23,0.5
Pesto z bazylii,4.7,7.6,39
hummus classic,7.9,9.5,21
Ketchup Premium Łagodny,2.2,7.2,0.5
Hummus bruschetta,6.3,6.9,19.8
Pesto z tofu,4.5,3.2,22.2
Winiary Mayonnaise Decorative,1.5,2.9,76.3
Hummus falafel vegan,6.8,9.6,18.1
Ketchup Roleski,2.2,7.2,0.5
Hummus paprykowy,6.1,12,17
Knoblauchsauce,0.2,14,16
Guacamole,1.5,2.1,13.4
Sos hamburger,1.6,12,25
Curry-Gewürzketchup - scharf,0.6,39,0.5
Sauce tomate bio à la napolitaine,1.3,8.4,0.9
Hummus,7,13,20
Soybean Paste,12.8,19,3.8
Mustard Horcice kremzska,5.8,17.8,5.8
Pikantny Ketchup z charakterem,0.6,23,0.1
Sos meksykański,1.2,20,0.5
Curry-Gewürzketchup - delikat,0.6,39,0.5
Musztarda rosyjska,2.6,7.9,8.9
Tomato edchup,1.2,23.2,0.1
Passata,1.7,4.3,0.5
Ketchup Łagodny Premium,1.5,26,0.1
Majonez Napoleoński,0.9,3.5,70
Tomato Passata With Garlic,1.8,5.8,0.3
słodki sos barbecue,0.9,44,0.2
Hummus pomidorowy,6.7,12,15
Street Food sos do wrapów i kebabów,1,12,26
Sos pomidorowy z boczkiem,3.8,6,3
Sos pieprzowo-tymiankowy,0.5,8.7,26
Thai Curry Paste Red,4.7,11,1
Musztarda francuska,6.6,9.5,9.9
Sos Barbecue. Sos do grilla z cebulą i papryką,0.8,34,0.2
Sos 1000 wysp,0.7,11,25
Czosnkowy sos,0.9,8.3,38
Ketchup łagodny markowy,1.7,24,0.5
Passata rustica,1.3,5.5,0.2
Madras Spicy & Tangy Curry Kit,2,7.7,8
Majonez Premium Vegan,0.5,9.6,25
K-take it veggie Hummus Classic,7.4,7.5,20
Musztarda sarepska,5.4,8.7,3.5
Premium ketchup pikantny,1.9,23.7,0.2
Sos jalapeño,1,7.8,54.3
Majonez stołowy,0.8,4.9,51
Sos Do Spaghetti Oryginalny,1.7,9,1
Moutarde Kielecka Forte,5,7.2,4.6
Musztarda kremska,4.7,16,4.5
Sos Boloński z mięsem mielonym,3,6.8,3.2
Sos Chili con carne z mięsem mielonym,4.9,6.4,5.3
Słodko-kwaśny,0.8,17,0.5
Sos Boloński,1.2,7.6,0.9
Musztarda Dijon,5.1,1.8,11
Klasyczny sos barbecue,0.9,34,0.2
Fix spaghetti 4 sery z brokułami,14,45,23
Sos Sriracha mayo,0.8,13.8,20.2
Ajvar łagodny,1.2,6.1,3.7
Aioli sauce Mediterranean style,1.3,3.2,74
Do Karkuwek,1.2,31,0.5
Dressing 1000 wysp,0.9,10.4,15.5
Słodko-kwaśny łagodny sos do ryżu,0.8,19.9,0.2
Hummus z burakiem,6.6,8.8,13
Ketchup Hot,2.3,21,0.7
Ketchup super hot,1.9,20,0.5
Słodko-Pikantny Sos Chilli,0.3,47.4,0.1
Chunky Burger Souce,1,10,21
Musztarda miodowa,5.1,16.8,4.9
Knorr Fix Carbonara 45G,15,30,41
Sos hot-dog remulada,0.5,12,30
Hummus z pestkami dyni i słonecznika,6.5,9.2,27
Tagodny ketchup,0.5,23,0.5
Passata z czosnkiem,1.8,4.6,0.5
Hummus Trio,7.3,11.2,19.8
Basilico,1.6,4.9,0.2
Musztarda Sarepska premium,5.3,7.1,6.1
Ketchup łagodny Pudliszek,1.6,30,0.3
Moutarde,7.9,9.2,8.7
Medero Premium ketchup classic,1.9,23.7,0.2
Majonez wielkopolski,0.9,3.7,74
Ketchup czosnkowy,1.7,31,0.9
Sos do tortilli,1.6,22,22
Ketchup premium meksykański KETO,2.1,6.7,0.5
Sos tysiąca wysp,2.2,15,36
Majonez sałatkowy,1.1,4.6,63.4
Ketchup bio ekologiczny Roleski,1.8,20,0.5
Hummus z suszonymi pomidorami,5.8,12,25
Sos Asia Ananas,0.3,24,0.5
Musztarda czeska,5,19,6.9
It's all gravy,13,46,2.2
Musztarda Dijon premium,7.7,3.4,12
Spaghetti sos z pomidorów,1.8,7.4,0.9
Sweet chili,0.7,46,0.5
Ketchup,1.1,23,0.5
Pesto Alla Genovese z Bazylii,4.7,7.6,39
Musztarda stołowa łagodna,4.3,12,4.8
Sos tatarski,1,6.1,63.3
passierte Tomaten,1.2,4.6,0.2
Bio Hummus pomidorowy,7,13,20
Sos sezamowy,2.2,14,49
Hummus z sosem pomidorowym,6.8,10.6,18.9
Sos Red Thai,1.2,9,0.8
Sriracha zielona z konopiami,1.8,34,0.5
Vegan Majo,0.5,5,70
Classic Hummus,7,7.9,24.4
Horcice. Musztarda kremska,4.3,16,4.8
Musztarda grillowa łagodna,5.4,4.4,5.8
Ketchup nr VII,1.9,35,0.5
Ketchup nr. VII,1.9,34.7,0.1
Chlopski garnek,8.6,58,4.8
Majonez z Truflami,1.2,3.7,72
Sos słodko-kwaśny z ananasem,0.7,19,0.5
Majonez roleskiego.,1.2,4,74
Musztarda delikatesowa angielska.,7.8,19,15
Majonez delikatesowy stołowy,1.2,3.7,74
"Chili Barbecue, Pikantny sos do grila",0.9,40,0.3
Mutarde,4.6,32,4.4
Musztarda delikatesowa jerozolimska,4.1,12,3.3
Musztarda delikatesowa kozaka,5.6,17,8.7
Sos piri piri,0.5,0.9,0.5
Richtig Ślonski Zymft,5,9.2,6.1
Sos do spaghetti pomidorowo-śmietankowy.,1.1,8.6,1.9
Musztarda gastronomiczna,4.7,16,4.5
Tagliatelle z Kurczakiem,6.6,16,4.2
Ketchup Super Pikantny,1.1,32,0.1
Tzatziki,4.8,5.3,7.6
Musztarda Bawarska,5.2,3.1,5.4
Do kurczaka w sosie paprykowym,8.5,50,6.4
Sos pomidorowy z bazylią,1.6,5.5,5
Sos Spaghetti z ziołami,1,15.2,0.5
Sos hot dog,0.5,12.1,30
Sos Boloński z ziołami,1,16,0.5
Sos z czosnku niedźwiedziego,1.4,10.7,32.2
Sos Boloński z mięsem,3.8,8,2.2
Sos Boloński z bazylią,1,10.3,0.5
Sos do makaronu z płatkami czosnku,1.7,9.8,0.6
Sos pieczeniowy jasny,0.7,5.4,0.7
Passata Cherry Tomato Puree,1.1,6.5,0.5
Hummus z wędzonym pstrągiem,9,9,17
Vayonaise,0.5,3.4,53
Przecier pomidorowy,1.4,5.7,0.3
Hummus clasic,8,9,27
Bolonski,3.6,8,2.3
Sos BBQ z miodem gryczanym,1,29,0.5
Pomidor hummus,5.9,8.5,18
Sos chili słodko-pikantny,0.3,47.4,0.1
Humus,6.7,6.7,10
Sos do frytek belgijski,1.1,3.6,77
Sos do kurczaka z czosnkiem,0.8,18,0.5
Majonez delikatny,1,7.8,42.6
Musztarda chrzanowa,4.7,12,3.4
Majonez OMEGA 3:6,1,2.8,76.2
Majonez Roleskiego Premium,1,3.4,72
Przecier pomidorowy z bazylią,1.4,5.8,0.3
ketchup diabelski Carrefour,0.5,22.5,0.2
Salsa,1.6,18,0.5
Mayonnaise sauce,0.7,3.2,80
Tuna napolitana,8.3,55,4.1
tomato ketchup spicy curry,1.4,28,0.2
Bio Musztarda Ostra,4,15,1.1
Ajvar ostry,1.5,8,4
Original BBQ sauce,0.8,34,0.8
Majonez klasyczny,1.8,3.8,68
SOS Spaghetti,1.8,19,1
Musztarda Jalapeño,4.7,11,5.2
Ketchup z truskawką,1.4,22,0.5
hummus kokos & curry,4.8,9.8,14.4
Original Mayonnaise,3.3,3.3,73.3
Firma Roleski Hot Ketchup 450 G,1.2,24,0.5
Sos chilli pikantny,1.2,17.4,0.3
Sos do hamburgerów,1.2,12,21
Sante Hummus With Dried Tomatoes 180 G,5.8,12,25
Sos chili pikantny,0.7,25,0.5
Musztarda kcyńska pełnoziarnista,9,20,0.5
Passata con basilico,1.1,6,0.1
Ketchup classic,1.9,26,0.2
Sos curry mango,1.6,18,28
Sos amerykański BBQ,1.9,24,0.5
Majonez gęsty kremowy,1,2.8,80
Bio Musztarda Łagodna,3.8,13,1.1
K-take it veggie Hummus Red Pepper 200g,6.7,7.3,17
K-take it veggie Hummus Tomato,7.4,10,17
Ketchup Premium Jalapeño,2,27,0.5
"Ketchup z dodatkiem miodu, czosnku i tymianku.",2.5,28,0.3
Sos Sriracha,1.2,35,0.4
Babuni Majonez Mayonnaise,0.8,4.6,64
Sos do kurczaka z papryką,1.4,18,0.5
Kuchnia Smaku Musztarda Sarepska,4.6,15,4.1
Sos do woka Green Thai,0.8,23,0.7
Hummus z papryką na ostro,6.4,14,25
Sos jogurtowy z ziołami,2.7,9.8,1.1
Sos do makaronu serowo-pieczarkowy,2.5,6.6,3.9
Pesto Zielone. Sos na bazie bazyli.,4.7,7.6,39
Passata klasyczna,1.4,5.9,0.5
Sos amerykański,1.2,11,25
Majonez gęsty i kremowy,1,2.8,80
Sos słodko-kwaśny,0.7,21,0.5
Spo?e Musztarda Delikatesowa 190Ml,5,12,4.2
Po Bolońsku sos do spaghetti,1.7,9.2,0.6
Hummus klasyczny z preclami,8.5,28,15
Majonez Wyborny,0.9,3.7,76
Tomato Ketchup,1.6,25.8,0.2
Sos Duński Remoulada,1.1,13,24
Sos sałatkowy paprykowo-ziołowy,0.5,4.8,45
Makrélafilé bőrrel,11.8,6.7,11.8
Bâtonnets saveur crabe,6.2,14,5.4
Poisson pané,12,17,8.6
Filety z makreli w sosie pomidorowym,10,5.6,12
Fish spread with rice,4.8,11,9.4
Paluszki surimi,8.3,15.3,4.9
Śledzie Wiejskie,9.4,7.6,13.1
Łosoś Kawałki w sosie pomidorowym,18,3.6,10
Sardynki w oleju słonecznikowym,24,0.5,5.3
Miettes de thon,14,3.9,6.4
Herring Snack,8.7,3.8,27
Paluszki rybne panierowane,12.3,19.4,5.5
Tuńczyk,17,0.5,0.5
Marinated Herring in mushroom sauce,3.9,5.7,28.9
Tuńczyk w sosie pomidorowym.,12,3.9,3.3
"Pstrąg tęczowy, wędzony na zimno w plastrach",20,0.5,8.6
Herring single portion with onion,8.2,3.9,25
Sardynki w oleju roślinnym,23,18,18
Szprot wędzony na gorąco,19,0.2,17
Szprot w sosie pomidorowym,11,5.5,6.8
Złote Paluszki Rybne z Fileta,13,14,8.6
Tuna pieces in vegetable oil,17,0.5,27
Filety śledziowe w sosie pomidorowym,9.7,4.4,11
Paprykarz szczeciński,5.7,12,12
Śledzie po żydowsku,7.7,2.8,31
Łosoś wędzony na zimno,20,0.2,12
Le mariné thon olives verte et origan,24,0.5,9.8
Paprykarz z łososia,5.2,10,9.4
Rybka na raz w sosie po grecku,6.3,12.3,9.1
Gniazda z łososia,24,0.1,14
Śledzik na raz z suszonymi pomidorami,8.5,4.7,27.8
Ryba śledź po grecku,5.1,9.4,7.3
Śledź w sosie pomidorowym,13,17,7.6
Filet z tuńczyka w sosie własnym,26,0.5,1
Filety śledziowe w sosie pomidorowym.,9.3,5.8,9.6
Paprykarz Szczeciński z łososiem.,6.5,6.5,9.2
Pavés de SAUMON kéta du Pacifique,21,0.6,9.2
Świeży pstrąg tęczowy łososiowy filet,19,0.2,9.2
Byczki w sosie pomidorowym,12,4,5.6
Filety z makreli w sosie pomidorowym.,12,5.8,2.2
Łosoś w sosie pomidorowym,10.6,5.7,8.5
Filets DE MERLU BLANC,16,0.8,1.9
Pasta z łososia pikantna,9,11,19
Śledź atlantycki w sosie grzybowym,5.8,5.7,27
Tonno a pinne gialle al naturale,23,0.5,0.9
Filety z makreli smażone w zalewie octowej,10,8,22
Thunfisch z soją,25,0.5,13
Śledzik na raz w sosie śmietankowym,7.8,6.2,26.5
Śledzik na raz z suszonymi pomidorami i ziołami włoskimi,6.6,4.5,28
Krajanka śledziowa z suszonymi pomidorami,7.4,7.6,16.8
ŁOSOŚ PACYFICZNY DZIKI,21,0.5,2
Filety z pstrąga,21.1,0.2,5.8
Filety śledziowe w oleju a'la Matjas,15,0.1,12.7
Łosoś w sosie pomidorowym kawałki,14,6.2,9
Filety śledziowe a'la Matjas,8.5,0.6,10.2
Szybki śledzik w sosie czosnkowym z ziołami prowansalskimi,6.6,5.7,31.3
Szybki Śledzik w sosie śmietankowym,6.6,6.9,29.3
Filety śledziowe w sosie śmietanowym,7.4,6.8,27.6
Śledź po gdańsku w oleju,13,0.7,33
Śledź atlantycki filety a'la Matjas korzenne,16,0.1,10
Szprot podwędzany w oleju,17,1,28
Filety śledziowe w sosie koperkowym,2.1,2.2,9
Mackerel Fillets in Tomato Sauce with Sweet Chili,12,5.4,21
16 Grosses croquettes de poisson,10,21,3.7
Tuňák steak v pikantním oleji,20,0.7,20
Filety z makreli w sosie pomidorowym z papryką.,12,6.1,17
Filet z pstrąga wędzonego na gorąco z pieprzem,21,0.4,5.9
Koreczki śledziowe z papryką chilli,10,4,10
Sardynki w sosie pomidorowym,15,1.8,3.5
Śledź atlantycki opiekamy,12.8,9.3,13
Ryba z piekarnika z sosem brokułowym,11.8,5.3,5
Tuňák,21,1,1
Opiekane filety śledziowe w zalewie octowej,9,6.4,9.2
surimi nūj.Viči Snow crab 250g,8.8,10.6,0.6
Stek z tuńczyka,20,1,32
Śledź Atlantycki Bismarck płaty śledziowe,11.8,1.5,8.8
"Łosoś plastry, wędzony na zimno",19,0.1,11
Filety z pstrąga tęczowego wędzonego na gorąco,23,0.5,5.1
Ryba po grecku,4.6,13,6.5
"Łosoś atlantycki, wędzony na zimno, plastrowany",20,0.5,10
Filety z anchois,16,0.8,45
Surimi sticks,6.7,17.9,5.3
Płaty śledziowe smażone w zalewie octowej,15,9.6,13
Śledź w sosie pomidorowym.,10,5.6,7.9
Szprot w pikantnym sosie pomidorowym.,14,5.4,14
Szprot w sosie pomidorowym.,13,3.9,8
Tuna shredded,23,0.6,0.2
Śledzik na raz Pikantny,8.5,3.8,25
Filety śledziowe panierowane i smażone w zalewie octowej.,10,4.1,17
Łosoś atlantycki wędzony na zimno,20,0.5,11
Łosoś atlantycki marynowany,20,0.8,13
Thunfisch  Stücke in Öl,25,0.1,2.8
Paluszki z fileta z dorsza,15,12,8.7
Szproty wędzone w sosie pomidorowym,14,6,8
Wiejskie filety śledziowe marynowane z cebulą,8.7,5.1,16
Filets de cabillaud,18,0.7,0.9
Italian Style Thunfisch,8.9,10,6
Łosoś Wędzony Plastrowany,20,0.8,13
Sardynki w sosie paprykowym,9.6,4.1,4.6
Salmon hotdogs,17,3.9,15
Makrela po meksykańsku,8.6,6.3,13
Sardinhas,17,1.1,14
koreczki śledziowe po kaszubsku,7.8,6.7,30
Złoty mintaj,13,19,6.8
Płaty śledziowe marynowane,13,3,13
Morszczuk w galarecie,7.3,2.6,0.6
Filety śledziowe wiejskie - pikantne pomidory,11.5,12.4,14
Filety śledziowe wiejskie - klasyczna cebulka,11.4,12.1,14
Filety śledziowe wiejskie - zioła ogrodowe,11.5,13,13
Szprot popularny w sosie pomidorowym,11,5.5,8.9
Herring,5.5,7.3,28.8
Fish fingers,7.7,29.1,12.1
Makrela wędzona,19,0.5,20
Saumon,20.2,0.5,7.5
Łosoś plastry wędzony na zimno,19,0.1,11
Chili filety śledziowe,7.2,4.4,26
Jaja ekologiczne,13,0.5,9.5
Jaja moja kurka,12.5,0.6,9.7
6 œufs frais plein air,13,0.5,9.8
Jaja świeże,12.5,0.6,9.7
Świeże jaja,12.5,0.6,9.7
Polskie jaja z chowu ściółkowego,12.5,0.6,9.7
Jaja z chowu ściołkowego,12.5,0.6,9.7
10 sztuk świeżych jaj,12.5,0.6,9.7
Jajka M,12.5,0.6,9.7
Jaja kurze L,12.5,0.6,9.7
Jajka L,12.5,0.6,9.7
Jajka M z Sokołowa,12.5,0.6,9.7
Jaja kurze M,12.5,0.6,9.7
Jaja z chowu ściółowego M,12.6,0.5,9.7
"Jaja, z wolnego wybiegu (eggs)",12.5,0.6,9.7
Jaja Ściółkowe M,12.5,0.6,9.7
Polskie jaja z chowu na wolnym wybiegu,12.5,0.6,9.7
Jaja świeże rozmiar L,12.5,0.6,9.7
Jaja Świeże L,12.5,0.6,9.7
Jaja z chowu na wolnym wybiegu (20xM),12.5,0.6,9.7
Dzikie jaja,10,1.2,0.8
Jaja Ściółkowe,12.5,0.6,9.5
Cebula,1.1,7.6,0.2
Pomidor,0.9,3.9,0.2
Czosnek,6.4,33.1,0.5
Marchew,0.9,9.6,0.2
Ziemniaki,2,17.5,0.1
Kurczak (pierś),31,0,3.6
Jajka,13,1.1,11
Ser żółty,25,1.3,27
Masło,0.5,0.1,81
Mąka pszenna,10,76,1
Cukier,0,100,0
Sól,0,0,0
Pieprz,10,64,3
Olej rzepakowy,0,0,100
Brokuły,2.8,5.2,0.4
Kalafior,1.9,5,0.3
Papryka czerwona,1,6,0.3
Ogórek,0.7,3.6,0.1
Sałata lodowa,1.2,2.9,0.2
Cukinia,1.2,3.1,0.2
Bakłażan,1,5.7,0.2
Pietruszka korzeń,3,12,0.6
Seler naciowy,0.7,3,0.2
Por,1.8,14.2,0.3
Dynia,1,6.5,0.1
Buraki,1.6,9.6,0.1
Fasolka szparagowa,1.8,7,0.2
Groch zielony,5.4,14.5,0.4
Kukurydza,3.4,21,1.2
Kapusta biała,1.3,5.8,0.1
Rzodkiewka,1,3.4,0.1
Grzyby pieczarki,3.1,3.3,0.3
Ciecierzyca (gotowana),8.9,27.4,2.6
Soczewica (gotowana),9,20,0.4
Fasola czerwona (gotowana),9,23,0.5
Makaron,13,70,1.5
Pierś z indyka,29,0,1.5
Wołowina (chuda),26,0,8
Łosoś,20,0,13
Tuńczyk (woda),23,0,1
Jabłko,0.3,14,0.2
Banan,1.1,23,0.3
Pomarańcza,0.9,12,0.1
